id	pred	
1:	['断路器', '漏电', '塑壳', '装置', '插接']
2:	['锅炉', '生物质', '预混', '纯铜', '装置']
3:	[]
4:	['装置', '塑料管道', '电熔', '复合管', '管件']
5:	['支付', '方法', '交易']
6:	['清洁', '口腔', '耳道', '制造', '成型']
7:	['电机', '转子', '工装', '伺服电机', '装置']
8:	['混凝土', '砂石', '搅拌机', '制备', '装置']
9:	['按摩', '可调', '揉捏', '工作台', '压腿']
10:	['呋喃树脂', '工艺', '生产', '装置', '固化']
11:	['采样器', '滤膜', '支撑架', '比色', '玻板']
12:	['铝塑板', '装置', '折边', '铝板', '热压']
13:	['可控硅', '封装', '半导体', '照明', '引线']
14:	['喷雾器', '农用', '背负式', '滴灌', '电动']
15:	['取暖器', '面板', '扫地机', '养殖', '猪饲料']
16:	['污水', '污水处理', '污水泵', '装置', '农村']
17:	['叉车', '门架', '焊接', '装置', '滚轮']
18:	[]
19:	['井盖', '片料', '复合', '智能', '沉降']
20:	[]
21:	[]
22:	['加热器', '流体', '浸没', '工业用', '高压']
23:	['耳机', '头戴式', '电路', '组件', '胆石']
24:	['装置', '电路板', '自动', '装配', '适用']
25:	['充电', '控制箱', '人脸识别', '箱式', '智能']
26:	['箱包', '拉杆箱', '成型', '设备', '拉杆']
27:	['升降器', '玻璃', '车用', '汽车玻璃', '夹手']
28:	['装置', '染色机', '印染', '染料', '纺织']
29:	['纤维', '长丝', '聚酯', '复合', '装置']
30:	['轴承', '轮毂', '汽车', '模子', '装配']
31:	['动力电池', '机器人', '专用', '具有', '智能']
32:	['智能网', '车牌', '装置', '平板', '出入']
33:	['永磁', '装置', '合金', '水循环', '磁性材料']
34:	['智能', '智能家居', '指纹识别', '电控锁', '指纹']
35:	['监测仪', '水质', '装置', '探头', '检测']
36:	['胶膜', '树脂', '反光膜', '熔点', '高功率']
37:	['处理', '废水', '装置', '工艺', '有机']
38:	[]
39:	['模塑', '餐盒', '纸浆', '定型机', '纸桨']
40:	['紧固件', '夹具', '装置', '攻丝', '用于']
41:	['按摩', '低功耗', '刮痧', '美容', '震动']
42:	['长丝', '丁二醇', '丁二酸', '制备', '挤压机']
43:	['层压板', '胶液', '裁边', '方法', '系统']
44:	['装置', '主轴', '加工', '工位', '水车']
45:	['同步电机', '永磁', '转子', '电机']
46:	['控制器', '散热', '电路', '外壳', '散热片']
47:	['电路', '测量', '磁力仪', '传感器', '分量']
48:	['丝锥', '板牙', '设备', '配套', '开槽机']
49:	['电子警察', '装置', '移动', '车载', '摩托车']
50:	['虚拟现实', '探测器', '用电', '系统', '智慧']
51:	['无纺布', '装置', '悬浮式', '便于', '灭火']
52:	[]
53:	[]
54:	['燃机', '调频', '系统', '余热', '燃气轮机']
55:	[]
56:	['注塑模', '汽车', '仪表盘', '汽车空调', '注塑']
57:	['灯具', '散热', '喷头', '支架', '打印机']
58:	[]
59:	['鱼片', '抗氧化', '制品', '复合', '品质']
60:	['染色', '装置', '染色机', '丝光', '棉纱']
61:	[]
62:	['无缝', '内裤', '儿童', '婴儿', '透气']
63:	['藤椅', '工艺', '制造', '骨架', '加工']
64:	['装置', '座椅', '锯木', '酒吧', '切割']
65:	['锂电池', '电池', '装置', '系统', '电源']
66:	['盘点', '远距离', '移动', '资产']
67:	['甩脂机', '筋膜', '按摩', '健身', '座椅']
68:	['扩增', '培养基', '细胞', '分析仪', '培养']
69:	['工装', '裁切', '模具', '成型', '设备']
70:	['闸机', '红外', '方法', '安防', '温度']
71:	['地板', '装置', '板料', '复合', '硬质']
72:	['轴承', '轮毂', '内圈', '汽车', '外圈']
73:	['硅片', '脱胶', '清洗', '工艺', '装置']
74:	['螺母', '装置', '装配', '压合', '螺栓']
75:	['漏电', '保护器', '保护', '插头', '插座']
76:	['取样', '装置', '表层', '检测', '土壤']
