id	pred	
1:	['重合', '网关', '接触器']
2:	['纯铜', '混', '预警']
3:	[]
4:	['熔接', '钢丝网', '排水管']
5:	['数字图像处理', 'B2B', '支付']
6:	['条', '口腔', '耳道']
7:	['压入', '磁钢', '车削']
8:	['测定仪', '皮带', '氯离子']
9:	['体育', '筋膜', '抓手']
10:	['定比', '涂料', '呋喃树脂']
11:	['硫化氢', '滤膜', '玻板']
12:	['耐候', '热压', '铝塑板']
13:	['可控硅', '集成电路', '电镀']
14:	['闭合', '六角', '充电器']
15:	['香猪', '反接', '换气扇']
16:	['生活', '预制', '净化器']
17:	['焊接设备', '门', '链条']
18:	[]
19:	['热塑性', '门', 'SMC']
20:	[]
21:	[]
22:	['工业用', '测温', '加热器']
23:	['拨动', '耳机', '数字音频']
24:	['铝管', '屏蔽', '上盖']
25:	['人脸识别', '定位系统', '自行车']
26:	['播放', '拉杆', '拉杆箱']
27:	['汽车玻璃', '升降器', '滑块']
28:	['气流', '及时', '经线']
29:	['海岛', '记忆', '熔融']
30:	['圆锥', '模子', '双列']
31:	['泵用', 'AGV', '锂电池']
32:	['智能网', '网关', '工控机']
33:	['磁性材料', '平面磨床', '磁性']
34:	['线路板', '传感', '密码锁']
35:	['环境参数', '气泡', '辐照']
36:	['低温干燥', '胶膜', 'N']
37:	['热力', '芬顿', '载体']
38:	[]
39:	['模塑', '热压', '餐盒']
40:	['标准件', '螺栓', '标准']
41:	['美容', '刮痧', '颈']
42:	['丁二酸', '化纤', '丁二醇']
43:	['导热', '胶液', '磁性']
44:	['变径', '滑台', '水车']
45:	['同步电机', '电机', '永磁']
46:	['串联', '闭合', '自带']
47:	['组网', '磁力仪', '海底']
48:	['高速钢', '丝锥', '板牙']
49:	['人行', '盲区', '电子警察']
50:	['游戏', '虚拟现实', '计数器']
51:	['修边', '灭火', '压花']
52:	[]
53:	[]
54:	['调频', '燃机', '电厂']
55:	[]
56:	['气囊', '安全门', '传感']
57:	['遮光', '自带', '3D']
58:	[]
59:	['抗氧化', '鱼片', '青占']
60:	['丝光', '染整', '棉纱']
61:	[]
62:	['适合', '美体', '内裤']
63:	['骨架', '工艺', '藤椅']
64:	['反弹', '酒吧', '锯木']
65:	['串联', '机柜', '电池组']
66:	['资产', '盘点', '远距离']
67:	['甩脂机', '脚踏板', '筋膜']
68:	['NK', '扩增', '显示器']
69:	['管件', '橡胶制品', '八']
70:	['闸', '测温', '检疫']
71:	['涂漆', '养生', '涂装']
72:	['合金钢', 'ABS', '耐磨性']
73:	['插片机', '硅片', '切片']
74:	['尼龙', '螺帽', '内六角']
75:	['漏电', '门', 'USB']
76:	['表层', '水样', '污水']
77:	['透气性', '织边', '胶带']
78:	['灌机', '进气', '钻机']
79:	['纸盒', '吸管', '包装袋']
80:	['交易', '图标', '联盟']
81:	['炉门', '段', '多头']
82:	['环境参数', '翻', '浮标']
83:	[]
84:	['回收站', '自助', '被服']
85:	['电缆线', '修枝剪', '提醒']
86:	['铝型材', '门窗', '木门']
87:	['螺帽', '螺栓', '钻孔机']
88:	[]
89:	['刀具', '对旋', '紫外']
90:	['虚拟现实', '研究', '实验']
91:	['压花', '编织', '高韧性']
92:	['台灯', 'USB', '节能灯']
93:	['按压', '纺织设备', '阻燃性']
94:	['水面', '救援', '生活']
95:	['流延膜', '纸尿裤', '驱蚊']
96:	['边缘', '桌椅', '涂装']
97:	['相互', '串行', '并行']
98:	[]
99:	['门', '扁钢', '机械加工']
100:	['切换器', '电器', 'PC']
101:	['羊皮纸', '吸水纸', '流浆箱']
102:	['门', '热水器', '负离子']
103:	['内藏式', '络筒机', 'Y']
104:	['翻身', '油箱', '挖掘机']
105:	['不干胶', '纸盒', '凹版']
106:	['环己酮', '脱除', '热能']
107:	['控流', '磨具', '树脂砂']
108:	['照明灯', '灯带', '节能灯']
109:	['覆面机', '切纸机', '瓦楞纸']
110:	['安全', '路灯', '智慧']
111:	['硅橡胶', '墙纸', '器件']
112:	['氟化氢', '多晶硅', '硅烷']
113:	['打孔机', '滑块', '滑轨']
114:	['煎锅', '0001', '锅盖']
115:	[]
116:	['冷凝', '水泵', '过滤网']
117:	['玻璃幕墙', '墙体', '外墙砖']
118:	['立柱', '门', '医院']
119:	['遮光', '门', '换气扇']
120:	['冷挤压', '模具', '卡合']
121:	['微机', '荷载', '磁性']
122:	['高跟鞋', '铆钉', '聚氨酯']
123:	['天然气', '人工', '整理']
124:	['手术', '螺杆', '亲水性']
125:	['谐波', '顶部', '电感器']
126:	['LC040', '救护车', '饮用水']
127:	['环氧', '聚氨酯', '胶水']
128:	['单片', '拼板', '砂光机']
129:	['热封', '装盒', '筒灯']
130:	['意向', '应答', '匹配']
131:	['巾', '创口', '顺产']
132:	['污水', '船式', '污水处理']
133:	['极', '氯代', '净化剂']
134:	['摩擦片', '离合器', '制动器']
135:	['毛细管', '粘度', '高分子']
136:	['安全监控', '拥堵', '细节']
137:	['毫米波', '变频器', '定制']
138:	['吊钩', '平车', '无轨']
139:	['加弹机', '化纤', '聚酯纤维']
140:	['点火', '双电源', '控制电路']
141:	['集装', '电池组', 'UPS']
142:	['K', '烹饪', '锅盖']
143:	['固液', '沸腾', '热风炉']
144:	['适配', '抛机', '阀盖']
145:	['PH值', '纱筒', '起绒']
146:	['匹配', '旋涡', '减速机']
147:	['防腐木', '门', '负离子']
148:	['内芯', '压痕', '拉链']
149:	['眼镜架', '镜腿', '眼镜']
150:	['标准件', '螺帽', '螺栓']
151:	['熔断', '电瓶', '电阻']
152:	['中医', '诊仪', '闻诊仪']
153:	['LB', '五星', '办公椅']
154:	['对象', '播放', '时']
155:	['转轮', '冷器', '软胶囊']
156:	[]
157:	['诱导', '通风机', '暖通']
158:	['省力', '除草机', '割草']
159:	['核壳', '基质', '分析']
160:	['紧线器', '环链', '手扳']
161:	['HC', '五星', '办公椅']
162:	['不干胶', '反光', '亚克力']
163:	['实用', '桌饰', '花球']
164:	['大豆', '缓释', '有机肥']
165:	[]
166:	['玩具', '健身', '硬度']
167:	['水准', '尺', '内六角']
168:	[]
169:	['发生器', '旋振筛', '储存罐']
170:	['内物', '传感', '定位系统']
171:	[]
172:	[]
173:	['锤', '前端', '流通']
174:	['塔顶', '冷凝器', '多效']
175:	['吻合器', '吸引', '包皮']
176:	['绝缘子', '电场', '净化器']
177:	['皮带', '铝合金', '属具']
178:	['粉末冶金', '导管', '摇摆式']
179:	['遮物帘', '帘', '储物盒']
180:	['选机', '称量', '茶叶']
181:	['引轮', '锚索', '矿用']
182:	['门窗', '静载', '电阻']
183:	['反光', '大灯', '聚丙烯']
184:	['粒料', '收', '大豆油']
185:	[]
186:	['杂质', '聚丙烯', '粒料']
187:	['蜂窝', 'VOC', '净化器']
188:	[]
189:	['BIM', '排水管', '校园']
190:	['紫光', '卤制', '包装袋']
191:	['门', '宽度', '罗马柱']
192:	['客舱', '灭火', '公共汽车']
193:	['救援', '手电筒', '照明灯']
194:	['中间体', '氯', '执行器']
195:	['熨烫', '演出', '服装']
196:	['拖拉机', '卡丁车', 'B']
197:	['人造', '展平', '拉断']
198:	['发泡', '下降', '缓速']
199:	['型材', '楼承板', '桁架']
200:	['螺栓', '拉杆', '圆柱']
201:	['切坯', '波纹管', '抗腐蚀']
202:	['脱除', '聚合物', '印迹']
203:	['极', '发电机', '爪极']
204:	['CO', 'COOH', 'Ag']
205:	['无纺布', '凹版', '包装袋']
206:	['排污泵', '化工泵', '直立式']
207:	[]
208:	['杠铃', '插销', '健身器材']
209:	[]
210:	[]
211:	['堡垒', '操作系统', '平台']
212:	['龙头', '接管', '闸阀']
213:	['北斗', 'GPS', '光谱']
214:	['导热油', '清扫车', '值守']
215:	['潜油', '有色金属', '潜']
216:	[]
217:	['剪叉式', '船型', '靶']
218:	['建模', '保温杯', 'CAD']
219:	['分布式应用', '时钟', '水听器']
220:	['压滤', '滤布', '整机']
221:	['电除尘器', '橱', '气浮']
222:	['导板', '匹配', '多头']
223:	['眼镜架', '眼镜', '包装袋']
224:	['等速', '起动机', '减速']
225:	['排汗', '提花', '负离子']
226:	['孔无', '机械加工', '腔']
227:	['动态', '日志', '上线']
228:	['对象', '彩票', '支付']
229:	['空调', '水冷式', '前端']
230:	['冷藏', '编制', '保温箱']
231:	['齿轮箱', '歧管', '船外机']
232:	['念珠', '发布', '藻']
233:	['隔水', '试管', '包装袋']
234:	['散热器', '碳刷', '雨刮器']
235:	['滑板', '尼龙', 'USB']
236:	['圆锥', '间隙', '双列']
237:	[]
238:	[]
239:	['感应器', 'Mesh', '北斗']
240:	['转轮', '孪生', '问答']
241:	['衬纸', '黄铜', '带材']
242:	['逆流', '三级', '多效']
243:	['手把', '尾灯', '高质量']
244:	['储', '灶', '吸油烟机']
245:	['泡沫', '挤塑', '复合板']
246:	['尼龙', '粘扣带', '粘扣']
247:	['骨架', '条', '滑轨']
248:	[]
249:	['机柜', '液压泵', '齿轮泵']
250:	['电梯门', '挂轮', '尼龙']
251:	['层', '粘结剂', '耐火材料']
252:	['消雾', '风筒', '水循环']
253:	['绗缝机', '码', '导纱']
254:	['气室', '减震器', '五金']
255:	['汽轮机', '防堵', '变频器']
256:	['移动式', '测温', '在线']
257:	['标牌', '景区', '闪']
258:	[]
259:	[]
260:	['刀具', '刹车盘', '刹车片']
261:	['超细', '蛋糕', '无纺布']
262:	['浑浊度', '环境监测', '净化器']
263:	['反光', '侧石', '渗水']
264:	['热转印', '粗', '砂光机']
265:	['码', '刷', '布机']
266:	['螺柱', '上料机', '攻牙机']
267:	['微波炉', '贩卖机', '翻盖式']
268:	['边缘', '测量仪', '螺栓']
269:	['纸边', '利于', '切纸机']
270:	['消火栓', '窨井', '多个']
271:	['铁屑', '祛除', '装夹']
272:	[]
273:	['眼镜架', '眼镜', '弧度']
274:	['条', '电线', '踢脚线']
275:	['双通道', '磁性', 'Y']
276:	['涂料', '换热器', '卷材']
277:	['折叠桌', '桌椅', '卡合']
278:	['切片机', '铝材', '日光灯']
279:	[]
280:	['虚拟', 'BIM', '人员']
281:	['横移', '立体车库', '台板']
282:	['外周血', '试剂盒', 'DNA']
283:	['跨平台', '原始', '转化']
284:	[]
285:	['诊断仪', '保护膜', '乳腺']
286:	[]
287:	['模具钢', '高速钢', '锯片']
288:	['投入', '闸', '门禁']
289:	['漏电', '柱上', '一二次']
290:	['切片机', '磁体', '干']
291:	['耐久', '相机', '利用率']
292:	['门窗', '立柱', '型钢']
