id	pred	
1:	['断路器', '漏电', '装置', '塑壳', '合闸']
2:	['锅炉', '生物质', '装置', '纯铜', '预混']
3:	[]
4:	['装置', '管道', '聚乙烯', '复合管', '管材']
5:	['交易', '支付', '方法']
6:	['清洁', '口腔', '制造', '清理', '用于']
7:	['电机', '转子', '装置', '工装', '辅助']
8:	['混凝土', '砂石', '装置', '搅拌机', '水泥']
9:	['按摩', '可调', '揉捏', '汽车', '切割']
10:	['呋喃树脂', '生产', '装置', '工艺', '系统']
11:	['用于', '滤膜', '采样器', '检测', '支撑架']
12:	['铝塑板', '装置', '折边', '铝板', '生产']
13:	['半导体', '照明', '可控硅', '封装', '集成电路']
14:	['喷雾器', '农用', '背负式', '滴灌', '电动']
15:	['取暖器', '面板', '养殖', '智能', '扫地机']
16:	['污水', '装置', '生活', '污水处理', '农村']
17:	['叉车', '门架', '装置', '焊接', '方法']
18:	[]
19:	['井盖', '智能', '复合', '生产', '片料']
20:	[]
21:	[]
22:	['加热器', '流体', '高压', '工业用', '浸没']
23:	['耳机', '电路', '组件', '结构', '方法']
24:	['装置', '自动', '装配', '陶瓷', '用于']
25:	['充电', '智能', '箱式', '电动', '自行车']
26:	['箱包', '拉杆箱', '成型', '设备', '拉杆']
27:	['升降器', '玻璃', '车用', '汽车玻璃', '设备']
28:	['装置', '纺织', '染色机', '染料', '印染']
29:	['纤维', '装置', '复合', '长丝', '海岛']
30:	['轴承', '轮毂', '汽车', '装配', '模子']
31:	['动力电池', '结构', '机器人', '专用', '智能']
32:	['装置', '工业', '检测', '出入', '电脑']
33:	['装置', '永磁', '方法', '合金', '磁性材料']
34:	['智能', '智能家居', '门锁', '指纹识别', '指纹']
35:	['装置', '水质', '监测仪', '检测', '监测']
36:	['胶膜', '方法', '树脂', '熔点', '反光膜']
37:	['装置', '工艺', '废水', '系统', '有机']
38:	[]
39:	['模塑', '餐盒', '纸浆', '定型机', '装置']
40:	['紧固件', '夹具', '装置', '用于', '汽车']
41:	['按摩', '震动', '智能', '刮痧', '旋转']
42:	['方法', '长丝', '制备', '丁二酸', '丁二醇']
43:	['系统', '方法', '层压板', '胶液', '制备']
44:	['装置', '加工', '主轴', '工位', '机构']
45:	['永磁', '同步电机', '转子', '电机']
