id	pred	
1:	[('漏电', 3), ('塑壳', 2), ('断路器', 2)]
2:	[('锅炉', 3), ('生物质', 2), ('蓄热', 2)]
3:	[('五', 1), ('电子信息', 1), ('服务', 1)]
4:	[('电熔', 3), ('高分子', 3), ('装置', 2)]
5:	[('支付', 3), ('方法', 2), ('交易', 2)]
6:	[('口腔', 3), ('高分子', 3), ('清洁', 2)]
7:	[('电机', 3), ('转子', 2), ('工装', 2)]
8:	[('砂石', 3), ('节能', 3), ('搅拌机', 2)]
9:	[('按摩', 3), ('揉捏', 3), ('可调', 2)]
10:	[('呋喃树脂', 3), ('高分子', 3), ('生产', 2)]
11:	[('认证', 3), ('采样器', 2), ('滤膜', 2)]
12:	[('铝塑板', 3), ('装置', 2), ('金属', 2)]
13:	[('可控硅', 2), ('封装', 2), ('半导体', 2)]
14:	[('喷雾器', 2), ('农用', 2), ('背负式', 2)]
15:	[('制造', 3), ('取暖器', 2), ('面板', 2)]
16:	[('污水泵', 2), ('污水', 2), ('污水处理', 2)]
17:	[('门架', 4), ('叉车', 2), ('制造', 2)]
18:	[('产业', 1), ('设计', 1), ('服务', 1)]
19:	[('井盖', 3), ('制造', 3), ('复合', 2)]
20:	[('云', 1), ('电子信息', 1), ('计算', 1)]
21:	[('电子信息', 1), ('软件', 1), ('电子商务', 1)]
22:	[('加热器', 3), ('制造', 3), ('浸没', 2)]
23:	[('耳机', 3), ('科技', 2), ('臂', 1)]
24:	[('装置', 2), ('自动', 2), ('制造', 2)]
25:	[('充电', 3), ('软件', 3), ('科技', 2)]
26:	[('箱包', 4), ('拉杆箱', 3), ('高分子', 3)]
27:	[('升降器', 3), ('玻璃', 3), ('汽车玻璃', 2)]
28:	[('装置', 2), ('染色机', 2), ('材料', 2)]
29:	[('纤维', 3), ('材料', 2), ('干燥机', 1)]
30:	[('轴承', 3), ('轮毂', 2), ('汽车', 2)]
31:	[('动力电池', 4), ('新能源', 3), ('机器人', 2)]
32:	[('装置', 2), ('科技', 2), ('软件', 2)]
33:	[('磁性材料', 4), ('永磁', 2), ('装置', 2)]
34:	[('智能', 3), ('智能家居', 2), ('密码锁', 1)]
35:	[('环境', 3), ('环境监测', 3), ('监测仪', 2)]
36:	[('胶膜', 3), ('高分子', 3), ('树脂', 2)]
37:	[('废水', 2), ('装置', 2), ('资源化', 2)]
38:	[('新', 1), ('环境', 1), ('化学品', 1)]
39:	[('餐盒', 3), ('模塑', 3), ('纸浆', 2)]
40:	[('紧固件', 3), ('夹具', 2), ('装置', 2)]
41:	[('按摩', 3), ('震动', 2), ('刮痧', 2)]
42:	[('丁二醇', 2), ('丁二酸', 2), ('长丝', 2)]
43:	[('层压板', 3), ('高分子', 3), ('材料', 2)]
44:	[('装置', 2), ('主轴', 2), ('加工', 2)]
45:	[('同步电机', 3), ('设计', 3), ('服务', 3)]
46:	[('控制器', 2), ('散热', 2), ('电路', 2)]
47:	[('环境监测', 3), ('电路', 2), ('测量', 2)]
48:	[('板牙', 3), ('丝锥', 3), ('设备', 2)]
49:	[('电子警察', 3), ('装置', 2), ('交通', 2)]
50:	[('虚拟现实', 2), ('探测器', 2), ('系统', 2)]
51:	[('高分子', 3), ('无纺布', 2), ('装置', 2)]
52:	[('云', 1), ('电子信息', 1), ('电子商务', 1)]
