id	pred	
1:	[('漏电', 3), ('塑壳', 2), ('断路器', 2)]
2:	[('生物质', 3), ('锅炉', 3), ('节能', 2)]
3:	[('服务', 1), ('电子信息', 1), ('Web', 1)]
4:	[('高分子', 3), ('电熔', 2), ('装置', 2)]
5:	[('交易', 3), ('支付', 2), ('方法', 2)]
6:	[('口腔', 3), ('高分子', 3), ('耳道', 2)]
7:	[('电机', 4), ('转子', 2), ('先进', 2)]
8:	[('混凝土', 2), ('砂石', 2), ('技术', 2)]
9:	[('揉捏', 3), ('按摩', 2), ('可调', 2)]
10:	[('呋喃树脂', 3), ('高分子', 3), ('生产', 2)]
11:	[('认证', 3), ('采样器', 2), ('滤膜', 2)]
12:	[('铝塑板', 3), ('装置', 2), ('折边', 2)]
13:	[('集成电路', 2), ('可控硅', 2), ('封装', 2)]
14:	[('喷雾器', 2), ('农用', 2), ('背负式', 2)]
15:	[('扫地机', 2), ('取暖器', 2), ('面板', 2)]
16:	[('污水泵', 2), ('污水', 2), ('资源化', 2)]
17:	[('门架', 5), ('叉车', 4), ('链条', 1)]
18:	[('服务', 1), ('支撑', 1), ('产业', 1)]
19:	[('井盖', 2), ('复合', 2), ('制造', 2)]
20:	[('软件', 1), ('计算', 1), ('电子信息', 1)]
21:	[('电子商务', 1), ('软件', 1), ('电子信息', 1)]
22:	[('加热器', 3), ('浸没', 2), ('流体', 2)]
23:	[('耳机', 3), ('电路', 2), ('放大器', 1)]
24:	[('电路板', 2), ('装置', 2), ('自动', 2)]
25:	[('联网', 2), ('充电', 2), ('电子信息', 2)]
26:	[('箱包', 3), ('高分子', 3), ('拉杆箱', 2)]
27:	[('升降器', 2), ('玻璃', 2), ('车用', 2)]
28:	[('装置', 2), ('染色机', 2), ('材料', 2)]
29:	[('聚酯', 2), ('纤维', 2), ('材料', 2)]
30:	[('轴承', 3), ('轮毂', 2), ('汽车', 2)]
31:	[('动力电池', 4), ('新能源', 3), ('组', 2)]
32:	[('装置', 2), ('科技', 2), ('软件', 2)]
33:	[('永磁', 3), ('磁性材料', 3), ('装置', 2)]
34:	[('智能', 3), ('智能家居', 2), ('技术', 2)]
35:	[('监测仪', 3), ('环境监测', 3), ('水质', 2)]
36:	[('胶膜', 3), ('高分子', 3), ('树脂', 2)]
37:	[('废水', 2), ('装置', 2), ('资源化', 2)]
38:	[('新', 1), ('精细', 1), ('化学品', 1)]
39:	[('模塑', 3), ('餐盒', 3), ('纸浆', 2)]
40:	[('紧固件', 2), ('夹具', 2), ('装置', 2)]
41:	[('震动', 2), ('刮痧', 2), ('按摩', 2)]
42:	[('丁二醇', 2), ('长丝', 2), ('制备', 2)]
43:	[('高分子', 3), ('胶液', 2), ('层压板', 2)]
44:	[('装置', 2), ('主轴', 2), ('加工', 2)]
45:	[('永磁', 3), ('同步电机', 3), ('服务', 3)]
46:	[('控制器', 2), ('散热', 2), ('电路', 2)]
47:	[('环境监测', 3), ('电路', 2), ('测量', 2)]
48:	[('板牙', 3), ('丝锥', 3), ('设备', 2)]
49:	[('电子警察', 3), ('交通', 3), ('装置', 2)]
50:	[('用电', 2), ('虚拟现实', 2), ('探测器', 2)]
51:	[('高分子', 3), ('无纺布', 2), ('装置', 2)]
52:	[('电子商务', 1), ('软件', 1), ('电子信息', 1)]
53:	[('基础', 1), ('软件', 1), ('电子信息', 1)]
54:	[('燃机', 2), ('电厂', 2), ('调频', 2)]
55:	[('茶', 1), ('软件', 1), ('电子信息', 1)]
56:	[('注塑模', 3), ('汽车', 2), ('机械', 2)]
57:	[('灯具', 2), ('散热', 2), ('发光', 2)]
58:	[('科技', 1), ('软件', 1), ('电子信息', 1)]
59:	[('制品', 2), ('鱼片', 2), ('抗氧化', 2)]
60:	[('染色', 2), ('装置', 2), ('染色机', 2)]
61:	[('基', 1), ('新', 1), ('技术', 1)]
62:	[('无缝', 2), ('内裤', 2), ('儿童', 2)]
63:	[('藤椅', 3), ('工艺', 3), ('制造', 3)]
